name,address,city,state,zip,latitude,longitude,phone,website,twitter,facebook
a'Maurice Cellars,178 Vineyard Lane,Walla Walla ,WA,99362,46.087231,-118.201802,5095225444,http://amaurice.com/,,
Abeja,2014 Mill Creek Road ,Walla Walla,WA,99362,46.0873729,-118.22673,5095267400,http://www.abeja.net/,,
Adamant Cellars,525 Cessna Avenue,Walla Walla,WA,99362,,,5095294161,http://www.adamantcellars.com/,http://twitter.com/adamantcellars,
Amavi,3796 Peppers Bridge Road,Walla Walla ,WA,99362,46.01615,-118.38378,5095253541,http://www.amavicellars.com/,http://twitter.com/AmaviCellars,
Ash Hollow Winery,1460 F Street ,Walla Walla,WA,99362,46.09031,-118.26562,5095297565,http://www.ashhollow.com/,http://twitter.com/AshHollow,
Balboa Winery,4169 Peppers Bridge Road,Walla Walla ,WA,99362,46.005979,-118.38332,5095290461,http://www.balboawinery.com/,http://twitter.com/balboawinery,
Basel Cellars Estate Winery,2901 Old Milton Highway ,Walla Walla ,WA,99362,46.01785,-118.39603,5095220200,http://www.baselcellars.com/,http://twitter.com/Basel_Cellars,https://www.facebook.com/baselcellars
Beresan Winery,4169 Peppers Bridge Road,Walla Walla,WA,99362,46.005979,-118.383322,5095222395,http://beresanwines.com/,,https://www.facebook.com/beresanwines
Bergevin Lane Vineyards,1215 West Poplar Street,Walla Walla ,WA,99362,46.0583949,-118.35293,5095264300,http://bergevinlane.com/,http://twitter.com/blvwine,http://www.facebook.com/pages/Bergevin-Lane/95681546853
Bunchgrass Winery,151 Bunchgrass Lane,Walla Walla,WA,99362,46.0617719,-118.41559,5095408963,http://bunchgrasswinery.com/,,https://www.facebook.com/bunchgrass
Buty Winery,535 East Cessna Avenue,Walla Walla ,WA,99362,46.0874269,-118.27227,5095270901,http://www.butywinery.com/,http://twitter.com/ButyWinery,http://www.facebook.com/pages/Buty-Winery/123003631089321
Cadaretta,315 East Main Street,Walla Walla,WA,99362,46.070239,-118.33537,5095251352,http://www.cadaretta.com/,http://twitter.com/cadaretta,
Castillo de Feliciana,85728 Telephone Pole Road,Milton Freewater,OR,97862,45.9589039,-118.36608,5415583656,http://castillodefeliciana.com/,http://twitter.com/felicianawinery,http://www.facebook.com/pages/Castillo-de-Feliciana-Vineyard-Winery/177659048918314
Cayuse Vineyards,17 E. Main Street,Walla Walla,WA,99362,46.0670659,-118.33855,5095260686,http://www.cayusevineyards.com/static/,,
College Cellars,3020 Isaacs Avenue,Walla Walla,WA,99362,46.0785649,-118.27645,5095245170,,https://twitter.com/collegecellars,http://www.facebook.com/CollegeCellars
Corliss Estates,511 N Second Avenue,Walla Walla,WA,99362,46.0708959,-118.34324,5095264400,http://corlissestates.com/,,http://www.facebook.com/#!/pages/Corliss-Estates/203034313069641
Corvus Cellars,596 Piper Ave ,Walla Walla,WA,99362,46.091942,-118.26111,5092410318,http://www.corvuscellars.com/,http://twitter.com/CorvusCellars/,http://www.facebook.com/corvuscellars
Cougar Crest Estate Winery,50 Frenchtown Road,Walla Walla,WA,99362,46.047144,-118.49091,5095295980,http://www.cougarcrestwinery.com/,http://twitter.com/CougarCrest,http://www.facebook.com/cougarcrestwinery
DaMa Wines,51 East Main Street ,Walla Walla ,WA ,99362,46.0672039,-118.33821,5095252299,http://www.damawines.com/,https://twitter.com/#!/DaMaWines,http://www.facebook.com/damawines
Doubleback,229 E Main St,Walla Walla,WA,99362,46.069057,-118.33616,5095253334,http://www.doubleback.com/,https://twitter.com/#!/doublebackwine,http://www.facebook.com/DoublebackWinery
Dunham Cellars,150 E. Boeing Ave.,Walla Walla,WA,99362,46.0886418,-118.27693,5095294685,http://www.dunhamcellars.com/,http://www.twitter.com/dunhamcellars,http://www.facebook.com/dunhamcellars
Dusted Valley Vintners,1248 Old Milton Highway,Walla Walla,WA,99362,46.024329,-118.35045,5095251337,http://dustedvalley.com/,http://twitter.com/DustedValley,http://www.facebook.com/DustedValley
Echo Ridge Cellars,1102 Dell Ave,Walla Walla,WA,99362,46.071205,-118.356925,4257499073,http://www.echoridgecellars.com/index,https://twitter.com/EchoRdgeCellars,https://www.facebook.com/EchoRidgeCellars
Elegante Cellars,839 C St.,Walla Walla,WA,99362,46.0881649,-118.27599,5095259129,http://www.elegantecellars.com/,,
Ensemble Cellars,145 E. Curtis Avenue,Walla Walla,WA,99362,46.0881899,-118.27147,5095250231,http://www.ensemblecellars.com/,,http://www.facebook.com/pages/Ensemble-Cellars/262441909311
Figgins,2900 Melrose St,Walla Walla,WA,99362,,,5095227808,http://www.figginswine.com/,,https://www.facebook.com/FIGGINSWinery
Five Star Cellars,840 C Street,Walla Walla,WA,99362,,,5095278400,http://www.fivestarcellars.com/,http://twitter.com/fivestarcellars,http://www.facebook.com/pages/Five-Star-Cellars/282447362770
Fjellene Cellars,1050 Merlot Drive,Walla Walla,WA,99362,46.0109429,-118.34499,5418619359,https://fjellenecellars.com/,http://twitter.com/fjellenecellars,http://www.facebook.com/pages/Fjellene-Cellars/346355857566
Fort Walla Walla Cellars,127 E. Main Street,Walla Walla,WA,99362,46.068852,-118.33688,5095201095,http://www.fortwallawallacellars.com/,http://twitter.com/FWW_Cellars,http://www.facebook.com/pages/Fort-Walla-Walla-Cellars/102060249005
Foundry Vineyards,1111 Abadie Street,Walla Walla,WA,99362,46.062978,-118.35667,5095290736,http://www.foundryvineyards.com/,http://twitter.com/FoundryVineyard,http://www.facebook.com/pages/Foundry-Vineyards/198122406886154
Garrison Creek Cellars,4153 Hood Road,Walla Walla,WA,99362,46.004229,-118.27465,5095257377,http://www.garrisoncreekcellars.com/,,http://www.facebook.com/pages/Garrison-Creek-Cellars/164945756899828
Gifford Hirlinger,1450 Stateline Road,Walla Walla,WA,99362,46.0007099,-118.36545,5093019229,https://giffordhirlinger.com/,http://twitter.com/ghwine,http://www.facebook.com/pages/Gifford-Hirlinger/47968482846
Glencorrie Winery,8052 Old Highway 12,Walla Walla ,WA ,99362,46.046982,-118.499691,5095252585,http://www.glencorrie.com/,http://twitter.com/Glencorrie,http://www.facebook.com/pages/Glencorrie-Winery/105593436153823
Gramercy Cellars,635 N 13th Ave,Walla Walla,WA,99362,46.066977,-118.35692,5098762427,http://www.gramercycellars.com/,,http://www.facebook.com/GramercyCellarsFanPage
Grantwood Winery,2428 Heritage Rd,Walla Walla,WA,99362,46.0678169,-118.39624,5093019546,,,
Isenhower Cellars,3741 Pranger Road,Walla Walla,WA,99362,46.017529,-118.36217,5095267896,http://www.isenhowercellars.com/,http://twitter.com/isenhowervino,http://www.facebook.com/pages/Isenhower-Cellars/48195204780
